Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Lynette EX,No,"Character%20List/Dagger%2025.png, Character%20List/Fire%2037.png, Character%20List/Ice%2029.png, Character%20List/Lightning%208.png, Character%20List/Wind%2029.png, Character%20List/Light%2035.png, Character%20List/Dark%2028.png",Available in GL,25 de diciembre de 2025,,,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,25 de diciembre de 2025,,Orsterra,330,380,435,485,258,308,25 de diciembre de 2025,"8,56",S (9.49 - 8.50),Never,2.901,3.721,Fame,,,,リネットEx,Thief,Memoir,Seaside Traveler,Available in GL,25 de diciembre de 2025,,231,296,278,298,466,546,430,495,,"Dagger, Dark, Fire, Ice, Light, Lightning, Wind"
Alaune EX,No,"Character%20List/Fan%201.png, Character%20List/Ice.png",Available in GL,27 de marzo de 2025,19 de octubre de 2023,26 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de marzo de 2025,19 de octubre de 2023,Orsterra,226,261,404,469,360,410,24 de abril de 2024,"7,13",A (8.49 - 7.00),Never,2.746,3.566,Power,1 de enero de 2023,A,"9,7",アラウネEx,Dancer,Memoir,Traveler of Memories,Unavailable,,,201,251,316,366,597,667,278,343,U Lv10 before A1,"Fan, Ice"
Sarisa,No,"Character%20List/Dagger%2037.png, Character%20List/Fire%2059.png",Available in GL,20 de marzo de 2025,7 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,6 de junio de 2024,Orsterra,333,383,336,386,213,263,15 de noviembre de 2023,"6,1",B (6.99 - 6.00),Yes,2.882,3.702,Power,23 de junio de 2022,B,"9,5",サリサ,Thief,Sheperd's Rock,Chance Encounters,Available in JP,,21 de noviembre de 2024,368,433,235,255,332,412,445,510,Ultimate not worth,"Dagger, Fire"
Viola,No,"Character%20List/Dagger%2044.png, Character%20List/Fire%2072.png",Available in GL,16 de enero de 2025,28 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,12 de septiembre de 2024,Orsterra,338,388,251,301,253,303,27 de julio de 2022,"6,2",B (6.99 - 6.00),Yes,2.892,3.712,Wealth,28 de octubre de 2020,B,"9,5",ヴィオラ,Thief,Sunshade,Chance Encounters,Available in JP,,27 de febrero de 2025,373,438,280,300,322,402,435,500,Leave it at U Lv9,"Dagger, Fire"
Nivelle,Yes,"Character%20List/Tome%2031.png, Character%20List/Lightning_Thunder%2025.png, Character%20List/Fire%2042.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,31 de enero de 2024,Orsterra,281,331,484,549,293,343,7 de agosto de 2024,"7,67",A (8.49 - 7.00),Never,2.761,3.421,Power,31 de agosto de 2023,B,"9,6",ニヴェル,Scholar,Sheperd's Rock,Sacred Blaze Guidance,Available in JP,,27 de febrero de 2025,201,251,236,286,577,667,348,398,,"Fire, Lightning, Tome"
Shana,No,"Character%20List/Axe%2036.png, Character%20List/Lightning_Thunder%2040.png, Character%20List/Wind%2051.png",Available in GL,8 de mayo de 2025,11 de abril de 2024,26 de febrero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de mayo de 2025,11 de abril de 2024,Orsterra,198,248,291,356,268,318,8 de mayo de 2025,"9,82",S+ (10.00 - 9.50),Never,2.930,3.750,Fame,11 de abril de 2024,S+,10,シャナ,Apothecary,Memoir,Traveler of Memories,Available in JP,,20 de febrero de 2025,335,385,372,422,580,650,311,361,,"Axe, Lightning, Wind"
Throné,No,"Character%20List/Dagger%2041.png, Character%20List/Dark%2058.png",Available in GL,27 de febrero de 2025,22 de junio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de febrero de 2025,22 de noviembre de 2023,Solistia,318,368,281,331,233,283,27 de febrero de 2025,"6,4",B (6.99 - 6.00),Never,2.792,3.612,Approval,22 de junio de 2023,C,"9,3",ソローネ,Thief,Memoir Logs,Memoirs of Solistia,Unavailable,,,388,453,260,280,327,407,500,565,,"Dagger, Dark"
Falco,No,"Character%20List/Dagger%2014.png, Character%20List/Ice%2012.png",Available in GL,6 de febrero de 2025,5 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,14 de marzo de 2024,Orsterra,338,388,246,296,278,328,8 de marzo de 2023,"5,36",C (5.99 - 5.00),Yes,2.902,3.722,Power,26 de agosto de 2021,C,"9,3",ファルコ,Thief,Flamesgrace,Chance Encounters,Available in JP,,5 de junio de 2025,348,413,300,320,362,442,410,475,A1 then U Lv10,"Dagger, Ice"
Odette,No,"Character%20List/Tome%2035.png, Character%20List/Wind%2038.png, Character%20List/Light%2046.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,31 de enero de 2024,Orsterra,221,271,409,474,320,370,21 de septiembre de 2022,"5,7",C (5.99 - 5.00),Never,2.911,3.571,Power,1 de julio de 2021,C,"9,4",オデット,Scholar,Sunshade,Sacred Blaze Guidance,Unavailable,,,226,276,281,331,567,657,313,363,Leave it at U Lv9,"Light, Tome, Wind"
Chloe,No,"Character%20List/Bow%206.png, Character%20List/Wind%209.png",Available in GL,27 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,9 de mayo de 2024,Orsterra,295,360,335,385,288,308,10 de mayo de 2023,"5,67",C (5.99 - 5.00),Yes,2.982,3.802,Power,6 de enero de 2022,C,"9,4",クロエ,Hunter,Grandport,Chance Encounters,Available in JP,,5 de junio de 2025,362,427,193,243,411,491,390,440,U Lv10 before A1,"Bow, Wind"
