Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Weakness to hit
Krauser,No,"Character%20List/Spear_Polearm.png, Character%20List/Wind.png",Available in GL,22 de mayo de 2025,24 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,22 de mayo de 2025,22 de febrero de 2024,Orsterra,270,305,240,290,300,350,23 de agosto de 2023,"6,9",B (6.99 - 6.00),Never,3330,4230,Power,14 de abril de 2022,F+ | 8.5,"8,5",クラウザー,Merchant,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,444,509,373,423,322,402,215,250,"Polearm, Wind"
Ri’tu,No,"Character%20List/Dagger.png, Character%20List/Lightning_Thunder.png",Available in GL,1 de mayo de 2025,11 de abril de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,8 de mayo de 2025,11 de abril de 2024,Orsterra,333,383,276,326,232,282,7 de diciembre de 2022,"4,08",D (4.99 - 4.00),Never,2782,3602,Power,13 de mayo de 2021,F | 8.0,8,リトゥ,Thief,Flamesgrace,Tourney,Unavailable,,,403,468,259,279,322,402,410,475,"Dagger, Lightning"
Odette,No,"Character%20List/Tome.png, Character%20List/Wind%201.png, Character%20List/Light.png",Available in GL,13 de marzo de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,13 de marzo de 2025,31 de enero de 2024,Orsterra,221,271,409,474,320,370,21 de septiembre de 2022,"5,7",C (5.99 - 5.00),Never,2911,3571,Power,1 de julio de 2021,D | 9.2-9.1,"9,1",オデット,Scholar,Sunshade,Sacred Blaze Guidance,Unavailable,,,226,276,281,331,567,657,313,363,"Light, Tome, Wind"
Viola,No,"Character%20List/Dagger%201.png, Character%20List/Fire.png",Available in GL,16 de enero de 2025,28 de septiembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,24 de julio de 2025,12 de septiembre de 2024,Orsterra,338,388,251,301,253,303,27 de julio de 2022,"6,2",B (6.99 - 6.00),Yes,2892,3712,Wealth,28 de octubre de 2020,C | 9.4-9.3,"9,3",ヴィオラ,Thief,Sunshade,Chance Encounters,Available in JP,,27 de febrero de 2025,373,438,280,300,322,402,435,500,"Dagger, Fire"
Chloe,No,"Character%20List/Bow.png, Character%20List/Wind%202.png",Available in GL,27 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,9 de mayo de 2024,Orsterra,295,360,335,385,288,308,10 de mayo de 2023,"5,67",C (5.99 - 5.00),Yes,2982,3802,Power,6 de enero de 2022,E | 9.0,9,クロエ,Hunter,Grandport,Chance Encounters,Available in JP,,5 de junio de 2025,362,427,193,243,411,491,390,440,"Bow, Wind"
Lumis,No,"Character%20List/Axe.png, Character%20List/Wind%203.png",Available in GL,13 de febrero de 2025,12 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23 de mayo de 2024,Orsterra,244,294,303,368,224,274,28 de septiembre de 2022,"3,46",E (3.99 - 0.00),Yes,3165,3985,Fame,25 de febrero de 2021,F+ | 8.5,"8,5",リュミス,Apothecary,Donescu,Chance Encounters,Unavailable,,,365,415,356,406,379,449,333,383,"Axe, Wind"
Tressa,No,"Character%20List/Spear_Polearm%201.png, Character%20List/Wind%204.png",Available in GL,23 de enero de 2025,13 de julio de 2023,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,23 de enero de 2025,12 de octubre de 2023,Orsterra,241,276,360,410,285,335,27 de julio de 2022,"4,64",D (4.99 - 4.00),Yes,3080,3980,Wealth,1 de enero de 2021,D | 9.2-9.1,"9,1",トレサ,Merchant,Rippletide,Chance Encounters,Available in JP,,7 de noviembre de 2024,384,449,333,383,357,437,240,275,"Polearm, Wind"
Sarisa,No,"Character%20List/Dagger%202.png, Character%20List/Fire%201.png",Available in GL,20 de marzo de 2025,7 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,6 de junio de 2024,Orsterra,333,383,336,386,213,263,15 de noviembre de 2023,"6,1",B (6.99 - 6.00),Yes,2882,3702,Power,23 de junio de 2022,C | 9.4-9.3,"9,4",サリサ,Thief,Sheperd's Rock,Chance Encounters,Available in JP,,21 de noviembre de 2024,368,433,235,255,332,412,445,510,"Dagger, Fire"
Aedelgard,No,"Character%20List/Sword.png, Character%20List/Fire%202.png",Available in GL,20 de marzo de 2025,7 de diciembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,14 de agosto de 2025,6 de junio de 2024,Orsterra,313,363,252,302,234,284,15 de noviembre de 2023,4,D (4.99 - 4.00),Yes,3232,4052,Fame,14 de julio de 2022,D | 9.2-9.1,"9,1",エデルガルト,Warrior,Cragspear,Chance Encounters,Available in JP,,21 de noviembre de 2024,409,474,346,411,381,451,260,295,"Fire, Sword"
Lemaire,No,"Character%20List/Fan.png, Character%20List/Fire%203.png, Character%20List/Ice.png, Character%20List/Lightning_Thunder%201.png, Character%20List/Wind%205.png, Character%20List/Light%201.png, Character%20List/Dark.png",Available in GL,13 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,7 de agosto de 2025,29 de agosto de 2024,Orsterra,233,268,434,499,337,387,10 de abril de 2024,"6,44",B (6.99 - 6.00),Yes,2771,3591,Fame,24 de noviembre de 2022,C | 9.4-9.3,"9,3",ルメール,Dancer,Theatropolis,Chance Encounters,Unavailable,,,230,280,235,285,489,559,387,452,"Dark, Fan, Fire, Ice, Light, Lightning, Wind"
