Name,Adjusted Character,Attributes,Class,Crit (Lv. 120),E.Atk (Lv. 120),E.Def (Lv. 120),GL Score,GL Tier,HP (Lv. 120),Influence,Japanese Name,Job,Location,P.Atk (Lv. 120),P.Def (Lv. 120),SP (Lv. 120),Spd (Lv. 120)
Lynette EX,No,"Character%20List/Dagger%2025.png, Character%20List/Fire%2037.png, Character%20List/Ice%2029.png, Character%20List/Lightning%208.png, Character%20List/Wind%2029.png, Character%20List/Light%2035.png, Character%20List/Dark%2028.png",⭐️⭐️⭐️⭐️⭐️,380,485,308,"8,56",S (9.49 - 8.50),3721,Fame,リネットEx,Thief,Memoir,296,298,546,495
Alaune EX,No,"Character%20List/Fan%201.png, Character%20List/Ice.png",⭐️⭐️⭐️⭐️⭐️,261,469,410,"7,13",A (8.49 - 7.00),3566,Power,アラウネEx,Dancer,Memoir,251,366,667,343
Sarisa,No,"Character%20List/Dagger%2037.png, Character%20List/Fire%2059.png",⭐️⭐️⭐️⭐️⭐️,383,386,263,"6,1",B (6.99 - 6.00),3702,Power,サリサ,Thief,Sheperd's Rock,433,255,412,510
Viola,No,"Character%20List/Dagger%2044.png, Character%20List/Fire%2072.png",⭐️⭐️⭐️⭐️⭐️,388,301,303,"6,2",B (6.99 - 6.00),3712,Wealth,ヴィオラ,Thief,Sunshade,438,300,402,500
Nivelle,Yes,"Character%20List/Tome%2031.png, Character%20List/Lightning_Thunder%2025.png, Character%20List/Fire%2042.png",⭐️⭐️⭐️⭐️⭐️,331,549,343,"7,67",A (8.49 - 7.00),3421,Power,ニヴェル,Scholar,Sheperd's Rock,251,286,667,398
Shana,No,"Character%20List/Axe%2036.png, Character%20List/Lightning_Thunder%2040.png, Character%20List/Wind%2051.png",⭐️⭐️⭐️⭐️⭐️,248,356,318,"9,82",S+ (10.00 - 9.50),3750,Fame,シャナ,Apothecary,Memoir,385,422,650,361
Throné,No,"Character%20List/Dagger%2041.png, Character%20List/Dark%2058.png",⭐️⭐️⭐️⭐️⭐️,368,331,283,"6,4",B (6.99 - 6.00),3612,Approval,ソローネ,Thief,Memoir Logs,453,280,407,565
Falco,No,"Character%20List/Dagger%2014.png, Character%20List/Ice%2012.png",⭐️⭐️⭐️⭐️⭐️,388,296,328,"5,36",C (5.99 - 5.00),3722,Power,ファルコ,Thief,Flamesgrace,413,320,442,475
Odette,No,"Character%20List/Tome%2035.png, Character%20List/Wind%2038.png, Character%20List/Light%2046.png",⭐️⭐️⭐️⭐️⭐️,271,474,370,"5,7",C (5.99 - 5.00),3571,Power,オデット,Scholar,Sunshade,276,331,657,363
Chloe,No,"Character%20List/Bow%206.png, Character%20List/Wind%209.png",⭐️⭐️⭐️⭐️⭐️,360,385,308,"5,67",C (5.99 - 5.00),3802,Power,クロエ,Hunter,Grandport,427,243,491,440
Castti EX,No,"Character%20List/Fan%205.png, Character%20List/Ice%206.png, Character%20List/Wind%208.png",⭐️⭐️⭐️⭐️⭐️,332,567,322,,,3796,Approval,キャスティEx,Dancer,Memoir Logs,270,250,574,402
Molu,No,"Character%20List/Tome%2026.png, Character%20List/Fire%2040.png",⭐️⭐️⭐️⭐️⭐️,296,479,370,"4,46",D (4.99 - 4.00),3491,Wealth,ムールゥ,Scholar,Sufrataljah,291,311,652,343
Bargello EX,No,Character%20List/Fan%204.png,⭐️⭐️⭐️⭐️⭐️,317,302,382,"7,75",A (8.49 - 7.00),3716,Wealth,バルジェロEx,Dancer,Memoir,485,295,564,387
Tressa,No,"Character%20List/Spear_Polearm%2037.png, Character%20List/Wind%2062.png",⭐️⭐️⭐️⭐️⭐️,276,410,335,"4,64",D (4.99 - 4.00),3980,Wealth,トレサ,Merchant,Rippletide,449,383,437,275
Aedelgard,No,"Character%20List/Sword%202.png, Character%20List/Fire%202.png",⭐️⭐️⭐️⭐️⭐️,363,302,284,4,D (4.99 - 4.00),4052,Fame,エデルガルト,Warrior,Cragspear,474,411,451,295
Krauser,No,"Character%20List/Spear_Polearm%2016.png, Character%20List/Wind%2022.png",⭐️⭐️⭐️⭐️⭐️,305,290,350,"6,9",B (6.99 - 6.00),4230,Power,クラウザー,Merchant,Memoir,509,423,402,250
Ri’tu,No,"Character%20List/Dagger%2034.png, Character%20List/Lightning_Thunder%2035.png",⭐️⭐️⭐️⭐️⭐️,383,326,282,"4,08",D (4.99 - 4.00),3602,Power,リトゥ,Thief,Flamesgrace,468,279,402,475
Nona,No,"Character%20List/Spear_Polearm%2022.png, Character%20List/Fire%2044.png",⭐️⭐️⭐️⭐️⭐️,276,375,341,"4,58",D (4.99 - 4.00),4365,Wealth,ノーニャ,Merchant,Berecain,447,367,412,260
Pardis III EX,Unreleased in GL,"Character%20List/Light%2050.png, Character%20List/Ice%2038.png, Character%20List/Wind%2042.png",⭐️⭐️⭐️⭐️⭐️,318,585,374,,,3552,Power,パーディス三世の詳細,Cleric,Memoir,246,312,610,376
Lumis,No,"Character%20List/Axe%2018.png, Character%20List/Wind%2028.png",⭐️⭐️⭐️⭐️⭐️,294,368,274,"3,46",E (3.99 - 0.00),3985,Fame,リュミス,Apothecary,Donescu,415,406,449,383
Pardis III,No,"Character%20List/Sword%2043.png, Character%20List/Dagger%2030.png, Character%20List/Bow%2030.png, Character%20List/Fire%2051.png, Character%20List/Lightning_Thunder%2030.png, Character%20List/Dark%2038.png",⭐️⭐️⭐️⭐️⭐️,376,130,355,"9,83",S+ (10.00 - 9.50),3866,Power,パーディス三世,Scholar,Memoir,630,401,580,288
Lemaire,No,"Character%20List/Fan%2021.png, Character%20List/Fire%2034.png, Character%20List/Ice%2024.png, Character%20List/Lightning_Thunder%2019.png, Character%20List/Wind%2025.png, Character%20List/Light%2032.png, Character%20List/Dark%2027.png",⭐️⭐️⭐️⭐️⭐️,268,499,387,"6,44",B (6.99 - 6.00),3591,Fame,ルメール,Dancer,Theatropolis,280,285,559,452
Mydia,No,"Character%20List/Staff_Staves%2020.png, Character%20List/Fire%2041.png, Character%20List/Light%2042.png",⭐️⭐️⭐️⭐️⭐️,308,325,434,,,3602,Approval,ミディヤ,Cleric,Memoir Logs,471,342,500,346
