Name,Adjusted Character,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,BotL Lv.2 Date in JP,BotL Lv.2 in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,Overcharge,Overcharge Date in GL,Overcharge Date in JP,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Sofia,,"Character%20List/Tome%2039.png, Character%20List/Ice%2043.png",Available in GL,16 de enero de 2025,31 de agosto de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18 de julio de 2024,Orsterra,246,296,389,454,335,385,27 de julio de 2022,"4,88",D (4.99 - 4.00),Yes,2896,3556,Wealth,28 de octubre de 2020,D,"9,2",ソフィア,Scholar,Emberglow,Chance Encounters,Available in JP,,8 de mayo de 2025,231,281,291,341,562,652,283,333,Leave it at U Lv9,"Ice, Tome"
Camilla,,"Character%20List/Bow%204.png, Character%20List/Fire%208.png",Available in GL,16 de enero de 2025,26 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️,Available in GL,16 de enero de 2025,31 de enero de 2024,Orsterra,378,443,240,290,278,298,27 de julio de 2022,,,Yes,3072,3892,Wealth,28 de octubre de 2020,F,8,カミラ,Hunter,Theatropolis,Chance Encounters,Available in GL,30 de octubre de 2025,30 de enero de 2025,350,415,238,288,371,451,333,383,,"Bow, Fire"
Rique,,"Character%20List/Spear_Polearm%2031.png, Character%20List/Wind%2042.png",Available in GL,15 de mayo de 2025,15 de febrero de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,15 de mayo de 2025,15 de febrero de 2024,Orsterra,241,276,350,400,305,355,11 de septiembre de 2024,"6,75",B (6.99 - 6.00),Never,3090,3990,Wealth,15 de febrero de 2024,B,"9,5",リーク,Merchant,Memoir,Traveler of Memories,Available in GL,20 de noviembre de 2025,6 de febrero de 2025,389,454,338,388,352,432,265,300,,"Polearm, Wind"
Tatloch,,"Character%20List/Fan%2036.png, Character%20List/Sword%2056.png, Character%20List/Spear_Polearm%2036.png, Character%20List/Axe%2041.png, Character%20List/Staff_Staves%2031.png, Character%20List/Wind%2053.png",Available in GL,19 de junio de 2025,9 de mayo de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,19 de junio de 2025,9 de mayo de 2024,G'roha,262,297,402,467,257,307,10 de enero de 2024,"7,79",A (8.24 - 7.00),Never,3236,4056,Power,13 de octubre de 2022,B,"9,5",タトゥロック,Dancer,Memoir,Champion of Memories,Available in JP,,24 de octubre de 2024,415,465,225,275,424,494,292,357,A4 before U Lv10,"Axe, Fan, Polearm, Staff, Sword, Wind"
Olberic,,"Character%20List/Sword%2040.png, Character%20List/Spear_Polearm%2025.png, Character%20List/Lightning_Thunder%2027.png",Available in GL,23 de enero de 2025,13 de julio de 2024,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,20 de febrero de 2025,14 de febrero de 2024,Orsterra,258,308,237,287,271,321,25 de enero de 2023,"5,53",C (5.99 - 5.00),Yes,3452,4272,Power,28 de octubre de 2021,C,"9,4",オルベリク,Warrior,Sheperd's Rock,Chance Encounters,Available in GL,30 de octubre de 2025,29 de mayo de 2025,434,499,378,443,291,361,235,270,Leave it at U Lv9,"Lightning, Polearm, Sword"
Levina,,"Character%20List/Tome%2022.png, Character%20List/Dagger%2021.png, Character%20List/Wind%2025.png, Character%20List/Lightning_Thunder%2020.png",Available in GL,27 de marzo de 2025,18 de abril de 2024,8 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,27 de marzo de 2025,18 de abril de 2024,Orsterra,231,281,474,539,285,335,13 de marzo de 2024,"5,73",C (5.99 - 5.00),Never,2876,3536,Wealth,9 de junio de 2022,C,"9,3",レヴィーナ,Scholar,Memoir,Traveler of Memories,Unavailable,,,281,331,256,306,522,612,303,353,Leave it at U Lv9,"Dagger, Tome, Wind"
Pirro,,"Character%20List/Dagger%2030.png, Character%20List/Dark%2039.png",Available in GL,6 de marzo de 2025,6 de julio de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de marzo de 2025,7 de diciembre de 2023,Solistia,333,383,226,276,235,285,6 de marzo de 2025,"6,83",B (6.99 - 6.00),Never,2932,3752,Opulence,6 de julio de 2023,B,"9,5",ピルロ,Thief,Memoir Logs,Memoirs of Solistia,Unavailable,,,444,509,270,290,362,442,405,470,,"Dagger, Dark"
Falco,,"Character%20List/Dagger%2014.png, Character%20List/Ice%2012.png",Available in GL,6 de febrero de 2025,5 de octubre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,6 de febrero de 2025,14 de marzo de 2024,Orsterra,338,388,246,296,278,328,8 de marzo de 2023,"5,85",C (5.99 - 5.00),Yes,2902,3722,Power,26 de agosto de 2021,C,"9,3",ファルコ,Thief,Flamesgrace,Chance Encounters,Available in JP,,5 de junio de 2025,348,413,300,320,362,442,410,475,A1 then U Lv10,"Dagger, Ice"
Chloe,,"Character%20List/Bow%206.png, Character%20List/Wind%209.png",Available in GL,27 de febrero de 2025,9 de noviembre de 2023,,Unavailable,⭐️⭐️⭐️⭐️⭐️,Available in GL,21 de agosto de 2025,9 de mayo de 2024,Orsterra,295,360,335,385,288,308,10 de mayo de 2023,"5,31",C (5.99 - 5.00),Yes,2982,3802,Power,6 de enero de 2022,C,"9,4",クロエ,Hunter,Grandport,Chance Encounters,Available in JP,,5 de junio de 2025,362,427,193,243,411,491,390,440,U Lv10 before A1,"Bow, Wind"
Nephti,Yes,"Character%20List/Axe%2023.png, Character%20List/Staff_Staves%2021.png, Character%20List/Tome%2028.png",Available in GL,17 de abril de 2025,21 de septiembre de 2023,22 de enero de 2026,Available in JP,⭐️⭐️⭐️⭐️⭐️,Available in GL,17 de abril de 2025,21 de diciembre de 2023,Orsterra,203,253,251,316,360,410,21 de febrero de 2024,"8,23",A (8.24 - 7.00),Never,3200,4020,Fame,19 de enero de 2023,B,"9,5",ネフティ,Apothecary,Memoir,Traveler of Memories,Available in JP,,25 de septiembre de 2025,355,405,400,450,348,418,286,336,A4 before U Lv10,"Axe, Staff, Tome"
